종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
00None,신평택발전,업체,전기업,"1,883,760","37,400",,,,
056700,신화인터텍,사업장,전기전자,"14,440",295,C,C,C,B
00None,쌍용기초소재,사업장,시멘트,"20,512",377,,,,
00None,쌍용씨앤이,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","10,574,492","62,302",,,,
00None,씨엔씨티에너지,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","25,906",521,,,,
00None,씨월드고속훼리,사업장,해상 운송업,"108,976","1,498",,,,
00None,씨이케이,업체,폐기물 처리업,"226,301","1,306",,,,
00None,씨제이씨지브이,업체,건물,"69,504","1,397",,,,
00None,씨지앤대산전력,업체,전기업,"15,848",242,,,,
00None,씨지앤율촌전력,업체,전기업,"1,988,171","39,590",,,,
00None,아산시,사업장,폐기물 처리업,"108,502","1,048",,,,
183190,아세아시멘트,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","2,114,034","13,832",A,A,A,B+
002310,아세아제지,업체,"펄프, 종이 및 판지 제조업","466,661","4,339",B+,B+,A,B
020560,아시아나항공,업체,항공 여객 운송업,"306,178","4,511",B+,A,B+,B+
00None,아주대학교의료원,사업장,병원,"28,391",581,,,,
139990,아주스틸,사업장,기계,"13,780",255,D,C,D,D
00None,안동시,사업장,수도사업,"16,774",166,,,,
00None,안산도시개발,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","27,470",615,,,,
00None,안산시,업체,"하수, 폐수 및 분뇨 처리업","114,730","1,443",,,,
00None,안양시,사업장,"하수, 폐수 및 분뇨 처리업","95,365","1,059",,,,
161000,애경케미칼,업체,기초 화학물질 제조업,"165,838","1,828",B+,B+,A,B+
00None,양산시,사업장,폐기물 처리업,"94,700",830,,,,
00None,양주시,사업장,폐기물 처리업,"70,705",922,,,,
00None,어프로티움,업체,기초 화학물질 제조업,"328,313","3,503",,,,
00None,에너원,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","41,855",484,,,,
00None,에드워드코리아,사업장,기계,"12,269",257,,,,
00None,에스앤에스아이앤씨,사업장,자동차,"18,223",380,,,,
00None,에스앤티모티브,사업장,자동차,"19,561",406,,,,
00None,에스에스엘엠,사업장,전기전자,"19,323",395,,,,
00None,에스엔에프코리아,사업장,기타 화학제품 제조업,"45,645","1,063",,,,
005850,에스엘,업체,전기전자,"54,187","1,126",B,B+,A,C
00None,에스와이에너지,사업장,나무제품 제조업,"26,030",800,,,,
00None,에스지씨솔루션,업체,유리 및 유리제품 제조업,"161,621","2,646",,,,
00None,에스지씨에너지,업체,유리 및 유리제품 제조업,"1,780,408","46,581",,,,
00None,에스케이,업체,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","136,656","2,846",,,,
00None,에스케이가스,사업장,발전에너지,"14,853",241,,,,
00None,에스케이네트웍스,사업장,건물,"23,447",478,,,,
00None,에스케이넥실리스,사업장,1차 비철금속 제조업,"125,554","2,604",,,,
00None,에스케이마이크로웍스,업체,플라스틱 제품 제조업,"154,240","3,164",,,,
00None,에스케이마이크로웍스솔루션즈,사업장,플라스틱 제품 제조업,"38,406",673,,,,
00None,에스케이멀티유틸리티,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","356,042","4,286",,,,
00None,에스케이바이오사이언스,사업장,석유화학,"17,352",356,,,,
00None,에스케이스페셜티,업체,기초 화학물질 제조업,"261,423","5,416",,,,
00None,에스케이실트론,업체,반도체 제조업,"410,642","8,623",,,,
00None,에스케이씨,업체,플라스틱 제품 제조업,"1,437",28,,,,
00None,에스케이아이이테크놀로지,사업장,일차전지 및 축전지 제조업,"75,145","1,540",,,,
00None,에스케이어드밴스드,업체,기초 화학물질 제조업,"529,742","10,547",,,,
00None,에스케이에너지,업체,석유 정제품 제조업,"7,146,701","75,417",,,,
00None,에스케이에어플러스,업체,기초 화학물질 제조업,"331,712","6,936",,,,
00None,에스케이에코프라임,업체,기타 화학제품 제조업,"34,212",588,,,,
00None,에스케이에코플랜트,사업장,건설,"25,242",516,,,,
00None,에스케이엔무브,업체,석유 정제품 제조업,"169,022","5,954",,,,
00None,에스케이엔텀,업체,보관 및 창고업,"36,958","1,729",,,,
00None,에스케이오션플랜트,사업장,조선,"18,207",325,,,,
00None,에스케이온,업체,일차전지 및 축전지 제조업,"160,618","3,325",,,,
00None,에스케이지오센트릭,업체,기초 화학물질 제조업,"2,541,554","59,114",,,,
00None,에스케이케미칼,업체,합성고무 및 플라스틱 물질 제조업,"222,379","4,056",,,,
00None,에스케이키파운드리,업체,반도체 제조업,"290,381","3,648",,,,
00None,에스케이텔레콤,업체,전기 통신업,"1,166,518","24,364",,,,
00None,에스케이피아이씨글로벌,업체,기초 화학물질 제조업,"540,380","9,598",,,,
00None,에스케이하이닉스시스템아이씨,업체,반도체 제조업,125,2,,,,
00None,에스케이하이닉스,업체,반도체 제조업,"4,848,541","94,903",,,,
00None,에스티엠,사업장,일차전지 및 축전지 제조업,"54,647","1,141",,,,
00None,에스피엘,사업장,기타 식품 제조업,"28,691",646,,,,
00None,에어리퀴드코리아,업체,기초 화학물질 제조업,"258,580","3,048",,,,
298690,에어부산,업체,항공 여객 운송업,"163,093","2,341",C,B+,B+,D
00None,에어서울,사업장,항공 여객 운송업,"21,973",315,,,,
00None,에어프로덕츠코리아,업체,기초 화학물질 제조업,"792,284","16,358",,,,
00None,에이에스이코리아,사업장,반도체 제조업,"103,083","2,134",,,,
00None,에이지씨디스플레이글라스오창,사업장,유리,"12,558",262,,,,
00None,에이지씨화인테크노한국,업체,유리 및 유리제품 제조업,"200,216","4,022",,,,
00None,에이치디씨아이파크몰,사업장,건물,"19,898",410,,,,
00None,에이치디씨폴리올,사업장,석유화학,"33,360",565,,,,
00None,에이치디씨현대산업개발,사업장,건설,"24,640",504,,,,
00None,에이치디씨현대이피,사업장,석유화학,"20,719",388,,,,
00None,에이치디현대미포,업체,선박 및 보트 건조업,"166,913","3,009",,,,
00None,에이치디현대삼호,업체,선박 및 보트 건조업,"276,469","4,802",,,,
00None,에이치디현대에너지솔루션,사업장,반도체 제조업,"19,982",401,,,,
00None,에이치디현대오씨아이,업체,기초 화학물질 제조업,"352,618","3,992",,,,
00None,에이치디현대오일뱅크,업체,석유 정제품 제조업,"6,428,458","80,865",,,,
00None,에이치디현대인프라코어,사업장,특수 목적용 기계 제조업,"87,657","1,700",,,,
00None,에이치디현대일렉트릭,사업장,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업","38,225",785,,,,
00None,에이치디현대중공업,업체,선박 및 보트 건조업,"671,156","11,630",,,,
00None,에이치디현대케미칼,업체,기초 화학물질 제조업,"2,719,270","50,104",,,,
00None,에이치에스지성동조선,사업장,선박 및 보트 건조업,"60,206","1,136",,,,
00None,에이치에스효성첨단소재,업체,화학섬유 제조업,"186,927","4,152",,,,
00None,에이치엘만도,사업장,자동차 신품 부품 제조업,"68,160","1,425",,,,
00None,에이치엘비에너지,사업장,폐기물 처리업,"27,071",43,,,,
00None,에이치엠엠피에스에이신항만,사업장,기타 운송관련 서비스업,"29,022",581,,,,
00None,에이치케이이노엔,사업장,석유화학,"17,964",369,,,,
038110,에코플라스틱,사업장,자동차,"17,731",366,,,,
066970,엘앤에프,사업장,전자 부품 제조업,"138,295","2,842",B,B+,A,C
00None,엘에스메탈,사업장,비철금속,"21,335",444,,,,
00None,엘에스엠앤엠,업체,1차 비철금속 제조업,"493,516","8,509",,,,
00None,엘에스일렉트릭,사업장,전기전자,"16,427",340,,,,
00None,엘에스전선,업체,절연선 및 케이블 제조업,"99,356","2,013",,,,
00None,엘지디스플레이,업체,전자 부품 제조업,"3,671,012","53,590",,,,
00None,엘지마그나이파워트레인,사업장,자동차,"18,891",393,,,,
00None,엘지유플러스,업체,전기 통신업,"1,418,334","29,633",,,,
00None,엘지이노텍,업체,전자 부품 제조업,"426,341","8,861",,,,
00None,엘지전자,업체,반도체 제조업,"257,475","5,469",,,,
00None,엠이엠씨코리아,사업장,반도체 제조업,"115,124","2,429",,,,
00None,엠코테크놀로지코리아,업체,반도체 제조업,"369,182","7,423",,,,
00None,여수시,업체,폐기물,"116,702",803,,,,
00None,여주에너지서비스,업체,발전에너지,"2,014,575","40,034",,,,
00None,여천엔씨씨,업체,기초 화학물질 제조업,"3,803,197","73,678",,,,
00None,연천군,사업장,폐기물,"16,906",25,,,,
00None,영우해운,사업장,교통(해운),"13,426",188,,,,
00None,영주시,사업장,폐기물 처리업,"36,061",133,,,,
00None,영풍전자,사업장,전자 부품 제조업,"38,638",775,,,,
00None,영풍제지,사업장,"펄프, 종이 및 판지 제조업","91,679","1,329",,,,
012280,영화금속,사업장,금속 주조업,"87,847","1,290",D,C,D,D
00None,오뚜기라면,업체,기타 식품 제조업,"47,742",960,,,,
00None,오라이온코리아,업체,기초 화학물질 제조업,"360,685",542,,,,
00None,오비맥주,사업장,알코올 음료 제조업,"90,773","1,918",,,,
00None,오산시,사업장,하수처리업,"19,899",263,,,,
00None,오성연료전지,사업장,전기업,"35,002",0,,,,
00None,오씨아이,업체,기타 화학제품 제조업,"1,187,244","18,408",,,,
00None,오씨아이홀딩스,업체,기초 화학물질 제조업,"1,140",22,,,,
00None,오케이에프음료,사업장,음료제조업,"20,171",389,,,,
00None,옥천군,사업장,지정외 폐기물처리업 등,"17,258",60,,,,
00None,온세미컨덕터코리아,업체,반도체 제조업,"193,260","3,199",,,,
00None,와이이십이프로젝트금융투자,사업장,건물,"17,446",360,,,,
00None,와이케이스틸,업체,1차 철강 제조업,"214,963","3,861",,,,
00None,용남고속,사업장,육상 여객 운송업,"21,173",372,,,,
00None,용산케미칼,사업장,기초 화학물질 제조업,"113,456",958,,,,
00None,용인시,업체,폐기물 처리업,"191,023","1,987",,,,
00None,우림해운,사업장,교통(해운),"24,338",335,,,,
00None,우지막코리아,사업장,요업,"4,201",85,,,,
00None,우진환경개발,사업장,폐기물 처리업,"67,813",771,,,,
00None,울산과학기술원,사업장,고등 교육기관,"37,607",786,,,,
00None,울산광역시,업체,폐기물 처리업,"315,968","3,065",,,,
00None,울산아로마틱스,업체,기초 화학물질 제조업,"430,585","10,023",,,,
00None,울산알루미늄,업체,1차 비철금속 제조업,"157,457","3,196",,,,
00None,울산피피,사업장,합성고무 및 플라스틱 물질 제조업,"49,134","1,389",,,,
00None,원강산업,사업장,기계,"21,731",451,,,,
00None,원주시,사업장,"하수, 폐수 및 분뇨 처리업","57,836",732,,,,
00None,위드인천에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","22,850",492,,,,
047400,유니온머티리얼,사업장,"내화, 비내화 요업제품 제조업","37,845",763,C,C,D,C
00None,유니투스,업체,자동차 신품 부품 제조업,"68,712","1,426",,,,
002920,유성기업,사업장,자동차,"13,596",279,C,C,C,B
00None,유한킴벌리,업체,"펄프, 종이 및 판지 제조업","199,589","3,999",,,,
00None,유한회사사조씨피케이,업체,"곡물 가공품, 전분 및 전분제품 제조업","135,361","2,432",,,,
00None,유한회사스태츠칩팩코리아,사업장,반도체 제조업,"76,436","1,572",,,,
00None,유한회사클라리오스델코,사업장,전기전자,"52,469","1,087",,,,
008730,율촌화학,사업장,플라스틱 제품 제조업,"81,954","1,509",C,C,C,C
00None,음성에코파크,사업장,발전에너지,"60,857",4,,,,
00None,의료법인길의료재단,사업장,건물,"21,181",435,,,,
00None,의정부시,사업장,"하수, 폐수 및 분뇨 처리업","82,379",400,,,,
00None,이건에너지,사업장,산업단지,"15,254","2,615",,,,
025820,이구산업,사업장,1차 비철금속 제조업,"36,264",748,C,C,D,B
00None,이누스,사업장,"내화, 비내화 요업제품 제조업","52,998",903,,,,
00None,이도에코오산,사업장,폐기물 처리업,"47,492",33,,,,
00None,이도에코전주,사업장,폐기물 처리업,"42,693",23,,,,
00None,이스트만화이버코리아,사업장,화학섬유 제조업,"42,245",716,,,,
00None,이지스제210호전문투자형사모부동산투자,사업장,건물,"20,982",435,,,,
00None,이천시,사업장,폐기물 처리업,"120,026",633,,,,
00None,익산시,사업장,폐기물 처리업,"74,429",572,,,,
00None,인제군,사업장,폐기물,"24,069",35,,,,
00None,인지에이엠티,사업장,자동차,"20,590",424,,,,
00None,인천공항에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","185,004","3,674",,,,
00None,인천광역시,업체,폐기물 처리업,"398,065","4,977",,,,
00None,인천교통공사,사업장,육상 여객 운송업,"117,332","2,421",,,,
00None,인천국제공항공사,업체,기타 운송관련 서비스업,"267,110","5,157",,,,
00None,인천연료전지,업체,전기업,"167,926",18,,,,
00None,인천종합에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","397,688","7,984",,,,
129260,인터지스,사업장,도로 화물 운송업,"32,691",485,C,C,C,C
00None,인프라에어홀딩스,업체,기초 화학물질 제조업,"260,445","5,441",,,,
00None,일신로지스틱스,사업장,교통(해운),"15,043",217,,,,
003200,일신방직,사업장,방적 및 가공사 제조업,"50,727","1,059",D,C,C,D
00None,일진디스플레이,사업장,전자 부품 제조업,"15,664",326,,,,
00None,일진제강,사업장,1차 철강 제조업,"53,130","1,073",,,,
00None,재단법인대구경북과학기술원,사업장,고등 교육기관,"31,474",643,,,,
00None,재단법인아산사회복지재단,사업장,병원,"95,744","1,928",,,,
00None,재단법인오송첨단의료산업진흥재단,사업장,건물,"16,372",335,,,,
00None,재원산업,사업장,기초 화학물질 제조업,"25,225",665,,,,
00None,전남대학교,사업장,고등 교육기관,"37,811",769,,,,
000950,전방,업체,섬유,"17,410",362,D,C,D,D
00None,전북대학교,사업장,고등 교육기관,"35,713",735,,,,
00None,전북대학교병원,사업장,건물,"21,845",458,,,,
00None,전북집단에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","195,564","2,313",,,,
00None,전주시,업체,폐기물 처리업,"168,919","1,771",,,,
00None,전차연물류,사업장,교통(화물),"14,359",204,,,,
00None,제이비,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","28,524",572,,,,
00None,제이셋스태츠칩팩코리아,사업장,반도체 제조업,"100,223","2,090",,,,
00None,제이아이금속,사업장,비철금속,"19,157",311,,,,
00None,제주신화월드,사업장,일반 및 생활 숙박시설 운영업,"44,436",882,,,,
00None,제주특별자치도,업체,폐기물 처리업,"354,623","3,359",,,,
00None,제주특별자치도개발공사,사업장,비알코올 음료 및 얼음 제조업,"32,721",664,,,,
089590,제주항공,업체,항공 여객 운송업,"228,618","3,278",A,A+,A+,B+
00None,제천시,사업장,"하수, 폐수 및 분뇨 처리업","45,322",354,,,,
462520,조선내화,사업장,요업,"18,507",353,,,,
018470,조일알미늄,사업장,1차 비철금속 제조업,"84,268","1,706",C,C,D,B
00None,존슨일렉트릭오퍼레이션스,사업장,자동차,"16,579",328,,,,
036930,주성엔지니어링,사업장,기계,"19,662",406,B+,B+,A,B+
00None,GS구미열병합발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","1,074,616","12,266",,,,
00None,GS반월열병합발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","879,990","10,283",,,,
000050,경방,사업장,건물,"18,122",375,C,C,D,C
00None,고려제지,업체,"펄프, 종이 및 판지 제조업","149,257","3,748",,,,
00None,광주글로벌모터스,사업장,자동차,"19,065",388,,,,
00None,구미그린,사업장,폐기물 처리업,"56,938",31,,,,
00None,국민은행,업체,건물,"92,871","1,494",,,,
00None,그린밸리,사업장,폐기물 처리업,"35,571",33,,,,
00None,남성버스,사업장,교통(여객),"15,804",297,,,,
00None,네패스라웨,사업장,반도체,"6,237",129,,,,
00None,녹수,사업장,석유화학,"28,682",581,,,,
004370,농심,업체,기타 식품 제조업,"189,047","3,771",B,A,B+,C
00None,뉴그린,업체,폐기물 처리업,"104,518",242,,,,
00None,대륜발전,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","658,637","13,051",,,,
00None,대전신세계,사업장,건물,"21,912",454,,,,
012800,대창,사업장,1차 비철금속 제조업,"30,155",617,D,C,D,D
00None,대한세라믹스,사업장,"내화, 비내화 요업제품 제조업","33,095",601,,,,
069460,대호에이엘,사업장,1차 비철금속 제조업,"26,366",529,D,C,C,D
00None,더블유티씨서울,사업장,부동산 임대 및 공급업,"58,002","1,195",,,,
00None,덕양에너젠,업체,기초 화학물질 제조업,"32,041",662,,,,
00None,동부고속,사업장,교통(여객),"21,853",321,,,,
102260,동성케미컬,사업장,기초 화학물질 제조업,"27,046",535,A,A,A+,A
00None,동아,사업장,기계,"17,198",356,,,,
00None,디비메탈,업체,1차 철강 제조업,"180,424","2,130",,,,
00None,디비하이텍,업체,반도체 제조업,"278,302","4,069",,,,
00None,디앤오,사업장,건물,"16,937",346,,,,
00None,디에스단석,사업장,1차 비철금속 제조업,"86,023","1,599",,,,
00None,디엔오토모티브,사업장,전기전자,"21,476",447,,,,
00None,메타즈,사업장,기계,"9,327",192,,,,
00None,명성,사업장,육상 여객 운송업,"23,450",406,,,,
00None,명성환경,사업장,폐기물 처리업,38,116,,,,
00None,무주덕유산리조트,사업장,건물,"17,943",331,,,,
00None,문화방송,사업장,건물,"15,957",349,,,,
00None,범우,사업장,폐기물 처리업,"95,337",76,,,,
00None,베어링아트,사업장,자동차 신품 부품 제조업,"62,874","1,298",,,,
122350,삼기,사업장,자동차 신품 부품 제조업,"63,431","1,211",,,,
00None,삼보광업,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","166,725",382,,,,
145990,삼양사,업체,"곡물 가공품, 전분 및 전분제품 제조업","264,263","6,241",A,A+,A+,B+
272550,삼양패키징,업체,플라스틱 제품 제조업,"134,673","2,919",B,A,A,C
003720,삼영,사업장,플라스틱 제품 제조업,"32,488",667,D,C,D,D
00None,서부티엔디,사업장,건물,"22,314",459,,,,
00None,서원환경,사업장,폐기물 처리업,"31,301",2,,,,
00None,세아베스틸,업체,1차 철강 제조업,"1,155,808","18,418",,,,
001430,세아베스틸지주,업체,1차 철강 제조업,485,9,A,A,B+,A
00None,세아창원특수강,업체,1차 철강 제조업,"436,291","7,917",,,,
00None,세진메탈,사업장,1차 비철금속 제조업,"33,018",532,,,,
00None,소노인터내셔널,사업장,일반 및 생활 숙박시설 운영업,"136,468","2,747",,,,
00None,스타필드고양,사업장,부동산 임대 및 공급업,"25,819",576,,,,
00None,스타필드안성,사업장,건물,"18,077",374,,,,
00None,스타필드하남,사업장,부동산 임대 및 공급업,"24,865",518,,,,
00None,신세계동대구복합환승센터,사업장,건물,"23,534",489,,,,
00None,신한은행,업체,건물,"70,718","1,173",,,,
222800,심텍,사업장,전자 부품 제조업,"106,014","2,306",A,B+,A+,B+
00None,심팩인더스트리,업체,1차 철강 제조업,673,12,,,,
00None,아이유제지,사업장,제지,"16,312",246,,,,
00None,알테크노메탈,사업장,금속 주조업,"32,283",554,,,,
00None,알트론전주,사업장,자동차 신품 부품 제조업,"33,439",0,,,,
00None,에너지네트웍,업체,폐기물 처리업,"168,841",317,,,,
00None,에너지명성,업체,폐기물 처리업,"39,036",47,,,,
00None,에너지울산,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","90,248","1,075",,,,
00None,에스알,업체,철도 운송업,"168,201","3,515",,,,
00None,에스에프에이반도체,사업장,반도체 제조업,"30,280",607,,,,
00None,에스엔엔씨,업체,1차 비철금속 제조업,"1,293,791","15,686",,,,
00None,에스피씨삼립,사업장,기타 식품 제조업,"97,440","2,018",,,,
00None,에스피에스엔에이,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","34,359",702,,,,
00None,에어퍼스트,업체,기초 화학물질 제조업,"674,270","13,928",,,,
200470,에이팩트,사업장,전기전자,"28,331",589,,,,
003060,에이프로젠바이오로직스,사업장,의약품 제조업,"17,335",356,D,C,D,D
00None,에코라임,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","104,213",521,,,,
00None,에코프로에이피,사업장,석유화학,"31,849",665,,,,
00None,에코프로이엠,사업장,일차전지 및 축전지 제조업,"103,448","2,161",,,,
00None,엘엑스하우시스,업체,플라스틱 제품 제조업,"113,467","2,180",,,,
00None,엘지에너지솔루션,업체,일차전지 및 축전지 제조업,"408,140","8,860",,,,
00None,엘지화학,업체,기초 화학물질 제조업,"8,351,819","162,537",,,,
000670,영풍,업체,1차 비철금속 제조업,"766,796","13,573",B,C,B,B+
00None,영흥산업환경,사업장,폐기물 처리업,"136,221",569,,,,
00None,우리은행,업체,건물,"71,633","1,090",,,,
097800,윈팩,사업장,반도체 제조업,"24,045",500,,,,
014830,유니드,업체,기초 화학물질 제조업,"300,606","7,482",B,B,B+,B
446070,유니드비티플러스,업체,나무제품 제조업,"54,199","2,217",C,C,C,C
00None,유니큰,업체,폐기물 처리업,"89,177",490,,,,
00None,이랜드리테일,업체,종합 소매업,"155,694","3,235",,,,
00None,이엠케이승경,사업장,폐기물 처리업,"45,824",521,,,,
00None,전주원파워,사업장,전기업,"42,794","6,028",,,,
00None,전주페이퍼,업체,"펄프, 종이 및 판지 제조업","449,587","8,181",,,,
00None,정선라임,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","86,578",284,,,,
00None,지알엠,사업장,1차 비철금속 제조업,"79,123",963,,,,
00None,지에스리테일,업체,건물,"52,444","1,081",,,,
00None,지에스이앤알,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",632,12,,,,
00None,지에스포천그린에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","959,022","13,074",,,,
018120,진로발효,사업장,알코올 음료 제조업,"30,278",734,,,,
272450,진에어,업체,항공 여객 운송업,"217,123","3,108",A,A+,A,A
006380,카프로,업체,기초 화학물질 제조업,"12,244",237,D,C,D,D
00None,케이씨씨글라스,업체,유리 및 유리제품 제조업,"718,215","9,619",,,,
00None,케이씨씨실리콘,업체,기초 화학물질 제조업,"108,896","1,765",,,,
00None,케이티,업체,전기 통신업,"1,141,171","23,543",,,,
00None,케이티클라우드,업체,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업","347,380","7,406",,,,
024880,케이피에프,사업장,기타 금속 가공제품 제조업,"43,892",906,,,,
00None,케이피이그린에너지,사업장,전기업,"58,289",7,,,,
089010,켐트로닉스,사업장,디스플레이,"22,102",461,,,,
00None,코리아에어텍,사업장,기초 화학물질 제조업,"59,020","1,232",,,,
00None,코엔텍,업체,폐기물 처리업,"328,628",617,,,,
014580,태경비케이,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","611,753","2,532",D,C,D,D
00None,태영이엠씨,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","148,256",773,,,,
091810,티웨이항공,업체,항공 여객 운송업,"186,993","2,683",B+,A,B,B+
00None,파라다이스세가사미,사업장,일반 및 생활 숙박시설 운영업,"38,983",798,,,,
00None,팜한농,업체,"비료, 농약 및 살균ㆍ살충제 제조업","60,012","1,024",,,,
00None,페트로코너지,사업장,발전에너지,"22,739",1,,,,
00None,포스코,업체,1차 철강 제조업,"71,065,143","377,507",,,,
00None,포스코모빌리티솔루션,사업장,1차 철강 제조업,"54,924","1,121",,,,
00None,포스코엠씨머티리얼즈,사업장,기초 화학물질 제조업,"83,843","1,218",,,,
047050,포스코인터내셔널,업체,전기업,"4,831,068","95,999",A,B+,A+,A
003670,포스코퓨처엠,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","2,298,133","18,214",A+,A+,A+,A
00None,포항버스,사업장,교통(여객),"19,454",373,,,,
103140,풍산,업체,1차 비철금속 제조업,"240,625","4,946",B+,B,B+,B+
00None,피앤오케미칼,사업장,석유화학,"47,914",871,,,,
00None,피에스엠,사업장,기타 금속 가공제품 제조업,"9,293",170,,,,
00None,피엔알,업체,"해체, 선별 및 원료 재생업","138,340","1,976",,,,
00None,피케이엘,사업장,전기전자,"16,047",330,,,,
00None,하나은행,업체,건물,"65,393",994,,,,
00None,하이호휠,사업장,자동차 신품 부품 제조업,"22,577",458,,,,
00None,한국거래소,사업장,건물,"18,445",383,,,,
00None,한국알스트롬,사업장,"펄프, 종이 및 판지 제조업","46,832",615,,,,
00None,호텔롯데,업체,일반 및 생활 숙박시설 운영업,"156,449","3,192",,,,
008770,호텔신라,사업장,건물,"21,716",443,A,B+,A,A
004800,효성,사업장,기타 섬유제품 제조업,"29,477",602,A,A,A+,B+
093370,후성,업체,기초 화학물질 제조업,"218,395",775,B,B+,A,C
005010,휴스틸,사업장,1차 철강 제조업,"30,450",620,C,C,C,C
00None,경기상운,사업장,교통(여객),"18,284",321,,,,
00None,금강고속,사업장,육상 여객 운송업,"23,408",340,,,,
00None,비엔씨티,사업장,기타 운송관련 서비스업,"33,079",613,,,,
00None,중소기업은행,업체,건물,"55,321",799,,,,
00None,지에스에코메탈,사업장,비철금속,"25,012",338,,,,
00None,지에스이피에스,업체,전기업,"3,006,264","70,079",,,,
00None,지에스칼텍스,업체,석유 정제품 제조업,"8,645,917","120,114",,,,
00None,지엠테크니컬센터코리아,사업장,건물,"14,310",291,,,,
00None,진양특수강,사업장,1차 철강 제조업,"28,105",561,,,,
00None,진영페이퍼,사업장,"펄프, 종이 및 판지 제조업","90,152",875,,,,
00None,진주시,사업장,폐기물 처리업,"123,714",605,,,,
00None,진천군,사업장,폐기물,"19,877",163,,,,
00None,창원시,업체,폐기물 처리업,"240,936","2,417",,,,
00None,천안시,업체,폐기물 처리업,"157,838","1,745",,,,
00None,천일정기화물자동차,사업장,교통(화물),"20,004",289,,,,
00None,천일제지,사업장,"펄프, 종이 및 판지 제조업","61,416","1,000",,,,
00None,청양산업,사업장,육상운송 및 파이프라인 운송업,"11,975",170,,,,
00None,청주시,업체,폐기물 처리업,"223,223","1,892",,,,
00None,청주에코파크,사업장,전기업,"55,904",2,,,,
00None,초당환경,사업장,폐기물 처리업,"25,578",72,,,,
00None,춘천시,업체,폐기물 처리업,"100,615","1,559",,,,
00None,춘천에너지,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","876,707","15,881",,,,
00None,충남대학교,사업장,고등 교육기관,"30,486",631,,,,
00None,충남대학교병원,사업장,건물,"20,156",418,,,,
00None,충북대학교,사업장,건물,"20,700",419,,,,
00None,충주시,사업장,폐기물 처리업,"74,508",749,,,,
00None,컬러스앤이펙츠코리아,사업장,석유화학,"15,990",551,,,,
00None,케이브이머티리얼즈,사업장,유리,"17,098",438,,,,
00None,케이씨글라스,사업장,유리 및 유리제품 제조업,"42,720",709,,,,
00None,케이씨씨,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","611,594","11,491",,,,
029460,케이씨,업체,기초 화학물질 제조업,"181,558","2,520",B,C,B+,B
00None,케이알에너지,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","44,016",472,,,,
00None,케이알코폴리머유한,사업장,합성고무 및 플라스틱 물질 제조업,"28,916",387,,,,
00None,케이에이에프,사업장,섬유,"24,420",420,,,,
00None,케이엠씨해운,사업장,해상 운송업,"43,505",603,,,,
00None,케이오씨,사업장,기초 화학물질 제조업,"35,161",842,,,,
00None,케이지모빌리티,업체,자동차용 엔진 및 자동차 제조업,"117,223","2,368",,,,
00None,케이지스틸,업체,1차 철강 제조업,"404,489","8,639",,,,
00None,케이지에코솔루션,업체,폐기물 처리업,"1,562",28,,,,
00None,케이지케미칼,사업장,"비료, 농약 및 살균ㆍ살충제 제조업","37,313",457,,,,
00None,코닝정밀소재,업체,유리 및 유리제품 제조업,"490,292","9,852",,,,
00None,코리아PTG,사업장,기초 화학물질 제조업,"103,089",900,,,,
005070,코스모신소재,사업장,기타 화학제품 제조업,"62,428","1,164",C,C,D,C
005420,코스모화학,사업장,기초 화학물질 제조업,"94,980","1,720",D,C,D,D
00None,코스포영남파워,업체,전기업,"850,361","16,906",,,,
